,Symbol,Company,Ongoing/ One-time,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Amount transferred to Unspent CSR Account for the project (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village),Category
2091,CARERATING,CARE RATINGS LTD.,One-time,TO PROVIDE TOTALLY FREE OF COST CARE TO 20 CHILDREN WITH CONGENITAL HEART DISEASES AT SRI SATHYA SAI SANJEEVANI CENTRES FOR CHILD HEART CARE,HEALTH CARE,SCHEDULE VII (I),,22.5,,,,SRI SATHYA SAI HEALTH & EDUCATION TRUST,22.5,MAHARASHTRA (NAVI MUMBAI),Medical and Health
2095,CARERATING,CARE RATINGS LTD.,One-time,MID-DAY MEAL PROGRAM,CHILD WELFARE,SCHEDULE VII (I),,27.5,,,,"AKSHAYA PATRA FOUNDATION,THE",27.5,ANDHRA PRADESH (VISAKHAPATNAM),Medical and Health
2097,CARERATING,CARE RATINGS LTD.,One-time,VACCINATION DRIVE IN MUMBAI SLUM AREA AND VARIOUS SOCIETY IN MUMBAI AND PROVIDE HEALTHCARE FACILITIES.,HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,29.0,,,,DR.GAUTAM BHANSALIS GOLDEN HOUR FOUNDATION,29.0,MAHARASHTRA (MUMBAI),Medical and Health
2099,CARYSIL,CARYSIL LTD.,One-time,ICU AMBULANCE,HEALTH CARE,SCHEDULE VII (I),,12.48,,,,ASHWANILA CHARITABLE TRUST,12.48,GUJARAT (BHAVNAGAR),Medical and Health
2100,CARYSIL,CARYSIL LTD.,One-time,DONATION OF OXYGEN CONCENTRATORS,HEALTH CARE,SCHEDULE VII (I),,10.6,,,10.6,,,GUJARAT (BHAVNAGAR),Medical and Health
2105,CASTROLIND,CASTROL INDIA LTD.,One-time,"HUMANITARIAN AID - COVID-19 RELIEF PROGRAMME INCLUDING SUPPORTING HOSPITAL WITH OXYGEN PLANT, O2 CONCENTRATORS AND VENTILATORS",DISASTER RELIEF,"SCHEDULE VII (I), SCHEDULE VII (XII)",,290.0,,,,AMERICARES INDIA FOUNDATION,290.0,"CHHATTISGARH,DADRA & NAGAR HAVELI AND DAMAN & DIU (SILVASSA),DELHI (DELHI /NCR),MAHARASHTRA",Medical and Health
2107,CASTROLIND,CASTROL INDIA LTD.,Ongoing,HUMANITARIAN AID - COVID VACCINATION PROGRAMME,DISASTER RELIEF,SCHEDULE VII (XII),70.0,70.0,,,,"SOCIETY FOR EDUCATIONAL WELFARE & ECONOMIC DEVELOPMENT,SYNERGIE INSTITUTE OF TRADE COMMERCE & INDUSTRY",70.0,"ANDHRA PRADESH (VIJAYAWADA),DELHI,MAHARASHTRA (MUMBAI)",Medical and Health
2110,CCL,CCL PRODUCTS (INDIA) LTD.,One-time,PROMOTION OF HEALTH CARE ACTIVITIES,HEALTH AND HYGIENE,SCHEDULE VII (I),,101.25,,,101.26,,,ANDHRA PRADESH (GUNTUR),Medical and Health
2114,CCL,CCL PRODUCTS (INDIA) LTD.,One-time,ELDERLY CARE AND ORPHANAGES,CONTRIBUTION TO OLD AGE HOMES AND ORPHANAGES,SCHEDULE VII (III),,4.5,,,4.5,,,ANDHRA PRADESH (GUNTUR),Medical and Health
2121,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LTD.,One-time,COVID-19 VACCINATION,CLAUSE (I) ON PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,33.5,,"ROTARY CLUB, BOMBAY QUEEN CITY FOUNDATION",33.5,,,MAHARASHTRA (MUMBAI),Medical and Health
2124,CENTUM,CENTUM ELECTRONICS LTD.,One-time,PROMOTING HEALTH CARE - PURCHASE OF EQUIPMENT,HEALTH CARE,SCHEDULE VII (I),,4.78,,,,HYDERABAD EYE INSTITUTE,4.78,TELANGANA (HYDERABAD),Medical and Health
2127,CENTUM,CENTUM ELECTRONICS LTD.,One-time,MEAL DISTRIBUTION,ERADICATING HUNGER,SCHEDULE VII (I),,8.0,,,,"AKSHAYA PATRA FOUNDATION,THE",8.0,KARNATAKA (BENGALURU),Medical and Health
2128,CENTENKA,CENTURY ENKA LTD.,One-time,AIDS TO FLOOD AFFECTED PEOPLE.,DISASTER MANAGEMENT (XII),SCHEDULE VII (XII),,2.28,,,2.28,,,MAHARASHTRA (MAHAD),Medical and Health
2143,CENTENKA,CENTURY ENKA LTD.,One-time,FOOD KIT DISTRIBUTION. (COVID-19),DISASTER MANAGEMENT (XII),"SCHEDULE VII (I), SCHEDULE VII (XII)",,5.74,,,5.74,,,MAHARASHTRA (PUNE),Medical and Health
2144,CENTENKA,CENTURY ENKA LTD.,One-time,MEDICAL AID TO NEARBY AREAS & VILLAGES,"HEALTH CARE, MEDICAL FACILITY & DRINKING WATER (I)",SCHEDULE VII (I),,1.7,,,1.7,,,MAHARASHTRA (PUNE),Medical and Health
2145,CENTENKA,CENTURY ENKA LTD.,One-time,"MEDICAL EQUIPMENTS, OXYGEN CYLINDERS ETC. (COVID-19 )",DISASTER MANAGEMENT (XII),"SCHEDULE VII (I), SCHEDULE VII (XII)",,3.9,,,3.9,,,GUJARAT (BHARUCH),Medical and Health
2148,CENTENKA,CENTURY ENKA LTD.,One-time,"EYE CHECK-UP & TREATMENT, GYNECOLOGY CAMPS AND RENOVATION AT CHC, UMALLA","HEALTH CARE, MEDICAL FACILITY & DRINKING WATER (I)",SCHEDULE VII (I),,3.69,,,3.69,,,GUJARAT (BHARUCH),Medical and Health
2153,CENTEXT,CENTURY EXTRUSIONS LTD.,One-time,EXPENDITURE TOWARDS PROVIDING FOOD ITEMS FOR POOR PEOPLE.,"ERADICATING HUNGER, POVERTY AND MALNUTRITION",SCHEDULE VII (I),,8.96,,,8.96,,,WEST BENGAL (KHARAGPUR),Medical and Health
2156,CENTURYPLY,CENTURY PLYBOARDS (I) LTD.,One-time,PROVIDING AID DURING CYCLONE AND COVID-19 PANDEMIC,"IN TERMS OF PARA (XII) OF SCHEDULE VII OF THE COMPANIES ACT, 2013 THE CSR EXPENDITURE IS INCURRED TOWARDS DISASTER MANAGEMENT, INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTION ACTIVITIES",SCHEDULE VII (XII),,16.85,,,16.85,,,ALL STATES,Medical and Health
2195,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Ongoing,"PREVENTIVE AND CURATIVE HEALTH SERVICES IN COMMUNITIES: THE PROJECT FOCUSES ON UP GRADATION OF HOSPITAL, ORGANISING MEDICAL CAMPS AND DRUG ADDICTION AWARENESS CAMPS, DISTRIBUTING COVID RELIEF SUPPLIES.",PROMOTING HEALTHCARE,SCHEDULE VII (I),105.5,101.61,3.89,,101.61,,,"UTTARAKHAND (NAINITAL,UDHAM SINGH NAGAR)",Medical and Health
2198,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,One-time,"PREVENTIVE AND CURATIVE HEALTH SERVICES IN COMMUNITIES: UNDER THIS INITIATIVE THE COMPANY INSTALLED OXYGEN PLANT, PROVIDED VENTILATORS TO HOSPITAL AND UNDERTOOK OTHER COVID AWARENESS AND PREVENTIVE MEASURES.",PROMOTING HEALTHCARE,SCHEDULE VII (I),,34.83,,,34.83,,,GUJARAT (BHARUCH),Medical and Health
2199,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,One-time,"PREVENTIVE AND CURATIVE HEALTH SERVICES IN COMMUNITIES: UNDER THIS INITIATIVE THE COMPANY INSTALLED OXYGEN PLANT, PROVIDED VENTILATORS TO HOSPITAL AND UNDERTOOK OTHER COVID AWARENESS AND PREVENTIVE MEASURES.",PROMOTING HEALTHCARE,SCHEDULE VII (I),,114.83,,,,"SOCIETY FOR EDUCATION WELFARE & ACTION-RURAL,ANKLESHWAR INDUSTRIAL DEVELOPMENT SOCIETY",114.83,GUJARAT (BHARUCH),Medical and Health
2201,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,One-time,"MPOWER: THE INITIATIVE AIMS AT CREATING AWARENESS ABOUT MENTAL HEALTH AMONG CHILDREN & ADOLESCENTS. THE KEY ACTIVITIES COVERED UNDER THIS INITIATIVE ARE PROVIDING PSYCHIATRIC SUPPORT, COUNSELLING, GUIDANCE AND ORGANIZING CAMPS IN SCHOOLS, EDUCATION INSTITUTES, COLLEGES ETC.",PREVENTIVE HEALTH,SCHEDULE VII (I),,100.0,,,,ADITYA BIRLA EDUCATION TRUST,100.0,"KARNATAKA (BENGALURU),MAHARASHTRA (MUMBAI),WEST BENGAL (KOLKATA)",Medical and Health
2204,CERA,CERA SANITARYWARE LTD.,One-time,"MEDICAL ASSISTANCE HEALTH CAMPS AND YOGA FACILITY, ERADICATING HUNGER","ERADICATING HUNGER, POVERTY, MALNUTRITION, PROMOTING HEALTH CARE AND SANITATION",SCHEDULE VII (I),,204.34,,,204.34,,,"GUJARAT (MEHSANA),WEST BENGAL (KOLKATA)",Medical and Health
2220,CESC,CESC LTD.,One-time,DISTRIBUTION OF SWING MACHINES,"(II) PROMOTING EDUCATION, INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATIONAL SKILLS",SCHEDULE VII (II),,1.63,,,1.63,,,WEST BENGAL (KOLKATA),Medical and Health
2234,CLSEL,CHAMAN LAL SETIA EXPORTS LTD.,One-time,PROJECT OF ORGANISING FREE EYE CHECKUP CAMP FOR NEEDY PEOPLE,PROMOTING SOCIAL WELFARE,"SCHEDULE VII (I), COMMUNITY DEVELOPMENT/ INFRASTRUCTURE/ SOCIAL WELFARE/ CHILD WELFARE",,0.21,,,0.21,,,HARYANA (KARNAL),Medical and Health
2237,CLSEL,CHAMAN LAL SETIA EXPORTS LTD.,One-time,PROJECT OF PROVIDING MASK AND MEDICINE FOR NEEDY PEOPLE,PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,0.5,,,0.5,,,HARYANA (KARNAL),Medical and Health
2248,CLSEL,CHAMAN LAL SETIA EXPORTS LTD.,One-time,PROJECT OF RATION DISTRIBUTION,ERADICATION OF HUNGER & POVERTY,SCHEDULE VII (I),,27.13,,,27.13,,,PUNJAB (AMRITSAR),Medical and Health
2250,CLSEL,CHAMAN LAL SETIA EXPORTS LTD.,One-time,PROJECT OF PROVIDING MEDICAL FACILITIES AND TREATMENT TO NEEDY PEOPLE,PROMOTING SOCIAL WELFARE,"SCHEDULE VII (I), COMMUNITY DEVELOPMENT/ INFRASTRUCTURE/ SOCIAL WELFARE/ CHILD WELFARE",,1.01,,,1.01,,,UTTAR PRADESH (NOIDA),Medical and Health
2260,CLSEL,CHAMAN LAL SETIA EXPORTS LTD.,One-time,PROJECT OF PROVIDING SHELTER & FOOD TO OLD AND NEEDY PEOPLE,PROMOTING SOCIAL WELFARE,SCHEDULE VII (I),,1.01,,,1.01,,,PUNJAB (AMRITSAR),Medical and Health
2262,CLSEL,CHAMAN LAL SETIA EXPORTS LTD.,One-time,PROJECT OF ORGANISING BLOOD DONATION CAMP FOR NEEDY PEOPLE,PROMOTING SOCIAL WELFARE,"SCHEDULE VII (I), COMMUNITY DEVELOPMENT/ INFRASTRUCTURE/ SOCIAL WELFARE/ CHILD WELFARE",,0.5,,,0.5,,,HARYANA (KARNAL),Medical and Health
2268,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,One-time,HEALTHCARE AND SANITATION INITIATIVES (PROJECT AROGYA),PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER,SCHEDULE VII (I),,4.9,,K.K.BIRLA MEMORIAL SOCIETY,4.9,,,"MADHYA PRADESH (KHARGONE,UJJAIN)",Medical and Health
2270,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,One-time,HEALTHCARE AND SANITATION INITIATIVES (PROJECT AROGYA),PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER,SCHEDULE VII (I),,8.1,,K.K.BIRLA MEMORIAL SOCIETY,8.1,,,"HARYANA (JHAJJAR,ROHTAK)",Medical and Health
2273,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,One-time,HEALTHCARE AND SANITATION INITIATIVES (PROJECT AROGYA),PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER,SCHEDULE VII (I),,30.0,,K.K.BIRLA MEMORIAL SOCIETY,30.0,,,"UTTARAKHAND (DEHRADUN,TEHRI)",Medical and Health
2277,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,One-time,HEALTHCARE AND SANITATION (PROJECT AROGYA),PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER,SCHEDULE VII (I),,264.1,,K.K.BIRLA MEMORIAL SOCIETY,264.1,,,"RAJASTHAN (BARAN,KOTA)",Medical and Health
2283,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,One-time,HEALTHCARE AND SANITATION INITIATIVES (PROJECT AROGYA),PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER,SCHEDULE VII (I),,5.1,,K.K.BIRLA MEMORIAL SOCIETY,5.1,,,"PUNJAB (BATHINDA,PATIALA)",Medical and Health
2288,CHEMCON,CHEMCON SPECIALITY CHEMICALS LTD.,One-time,COVID-19 : DISTRIBUTION OF BIPAP MASKS,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,0.33,,,0.33,,,GUJARAT (VADODARA),Medical and Health
2291,CHEMCON,CHEMCON SPECIALITY CHEMICALS LTD.,One-time,COVID-19 : MEDICAL INFRASTRUCTURE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,30.84,,,30.84,,,GUJARAT (VADODARA),Medical and Health
2292,CHEMCON,CHEMCON SPECIALITY CHEMICALS LTD.,One-time,COVID-19 MEDICAL INFRASTRUCTURE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,5.9,,,5.9,,,GUJARAT (VADODARA),Medical and Health
2295,CHEMCON,CHEMCON SPECIALITY CHEMICALS LTD.,One-time,COVID-19: DISTRIBUTION OF ENOXAPARIN SODIUM INJECTION,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,3.41,,,3.41,,,GUJARAT (VADODARA),Medical and Health
2299,CHEMCON,CHEMCON SPECIALITY CHEMICALS LTD.,One-time,MEDICAL INFRASTRUCTURE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,4.93,,,4.93,,,GUJARAT (VADODARA),Medical and Health
2304,CHEMFAB,CHEMFAB ALKALIS LTD.,One-time,COVID 19 DISASTER RELIEF MANAGEMENT,SCHEDULE VII (XII),SCHEDULE VII (XII),,85.3,,,85.3,,,"PUDUCHERRY,TAMIL NADU",Medical and Health
2307,CHEMFAB,CHEMFAB ALKALIS LTD.,One-time,COVID 19 DISASTER RELIEF MANAGEMENT,SCHEDULE VII (XII),SCHEDULE VII (XII),,10.0,,,,"CHRISTIAN MEDICAL COLLEGE VELLORE ASSOCIATION,THE",10.0,"PUDUCHERRY,TAMIL NADU",Medical and Health
2314,CHEMPLASTS,CHEMPLAST SANMAR LTD.,One-time,MEDICAL & HEALTH CARE EXPENSES,PROMOTING HEALTH CARE (COVERED UNDER ITEM -(I) OF THE SCHEDULE VII),SCHEDULE VII (I),,77.29,,,77.29,,,"PUDUCHERRY (KARAIKAL),TAMIL NADU (KRISHNAGIRI,NAGAPATTINAM,SALEM)",Medical and Health
2315,CHENNPETRO,CHENNAI PETROLEUM CORP.LTD.,One-time,MOBILE MEDICAL UNIT AT RAMANATHAPURAM,HEALTH CARE,SCHEDULE VII (I),,24.97,,,,HELPAGE INDIA,24.97,TAMIL NADU (RAMANATHAPURAM),Medical and Health
2317,CHENNPETRO,CHENNAI PETROLEUM CORP.LTD.,One-time,"HEALTH CENTER AT MUTTAM, NAGAPATTINAM",HEALTH CARE,SCHEDULE VII (I),,12.54,,,12.54,,,TAMIL NADU (NAGAPATTINAM),Medical and Health
2320,CHENNPETRO,CHENNAI PETROLEUM CORP.LTD.,One-time,COVID 19 RELIEF MATERIAL TO NORTH CHENNAI PEOPLE,HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,3.23,,,3.23,,,TAMIL NADU (CHENNAI),Medical and Health
2322,CHENNPETRO,CHENNAI PETROLEUM CORP.LTD.,One-time,"SUPPLY OF COLD CHAIN EQUIPMENT FOR TRANSPORTATION AND DISTRIBUTION OF COVID -19 VACCINATION TO STATE HEALTH DEPARTMENT, GOVT. OF TAMILNADU",HEALTH CARE,SCHEDULE VII (I),,150.0,,,150.0,,,TAMIL NADU (CHENNAI),Medical and Health
2323,CHENNPETRO,CHENNAI PETROLEUM CORP.LTD.,One-time,FLOOD RELIEF MATERIALS DISTRIBUTION TO NORTH CHENNAI PEOPLE,DISASTER MANAGEMENT,SCHEDULE VII (XII),,5.0,,,5.0,,,TAMIL NADU (CHENNAI),Medical and Health
2326,CHENNPETRO,CHENNAI PETROLEUM CORP.LTD.,One-time,MOBILE MEDICAL UNIT AT NAGAPATTINAM,HEALTH CARE,SCHEDULE VII (I),,25.14,,,,HELPAGE INDIA,25.14,TAMIL NADU (NAGAPATTINAM),Medical and Health
2329,CHENNPETRO,CHENNAI PETROLEUM CORP.LTD.,One-time,SETTING UP OF PSA OXYGEN PLANT AT KERALA AND KARNATAKA STATES AS PER DIRECTIONS OF MOPNG,HEALTH CARE,SCHEDULE VII (I),,500.19,,,500.19,,,"KARNATAKA (CHIKKAMAGALURU,YADGIRI),KERALA (ALUVA,PATHANAMTHITTA)",Medical and Health
2334,CHOLAFIN,CHOLAMANDALAM INVESTMENT & FINANCE CO.LTD.,One-time,MOBILE VAN FOR CVCM,HEALTH,SCHEDULE VII (I),,32.78,,,,SEVA BHARATHI,32.78,TAMIL NADU (CHENNAI),Medical and Health
2339,CHOLAFIN,CHOLAMANDALAM INVESTMENT & FINANCE CO.LTD.,One-time,SAKSHAM  TRUCKERS EYE HEALTH PROGRAMME,HEALTH,SCHEDULE VII (I),,33.01,,,,ASSOCIATION FOR RURAL ADVANCEMENT THROUGH VOLUNTARY ACTION & LOCAL INVOLVEMENT,33.01,RAJASTHAN (JAIPUR),Medical and Health
2341,CHOLAFIN,CHOLAMANDALAM INVESTMENT & FINANCE CO.LTD.,One-time,YOGA FOR ALL,HEALTH,SCHEDULE VII (I),,96.0,,,,ISHA INSTITUTE OF INNER SCIENCES,96.0,TAMIL NADU (COIMBATORE),Medical and Health
2350,CHOLAFIN,CHOLAMANDALAM INVESTMENT & FINANCE CO.LTD.,One-time,MOBILE HEALTH VAN-ASSAM,HEALTH,SCHEDULE VII (I),,13.45,,AMM FOUNDATION,13.45,,,TAMIL NADU (KANYAKUMARI),Medical and Health
2355,CHOLAFIN,CHOLAMANDALAM INVESTMENT & FINANCE CO.LTD.,One-time,TRUCKERS EYE HEALTH PROJECT PHASE - V,HEALTH,SCHEDULE VII (I),,234.46,,,,ROYAL COMMONWEALTH SOCIETY FOR THE BLIND-SIGHTSAVERS,234.46,ALL STATES,Medical and Health
2361,CHOLAFIN,CHOLAMANDALAM INVESTMENT & FINANCE CO.LTD.,One-time,MATERNAL AND CHILD HEALTH INITIATIVE BENEFITTING CVCMS (COMMERCIAL VEHICLE CREW MEMBERS).,HEALTH,SCHEDULE VII (I),,50.0,,,,SRI SATHYA SAI HEALTH & EDUCATION TRUST,50.0,CHHATTISGARH (RAIPUR),Medical and Health
2366,CHOLAFIN,CHOLAMANDALAM INVESTMENT & FINANCE CO.LTD.,One-time,FINANCIAL INCLUSION OF COMMERCIAL VEHICLE MEMBERS & CREW,EDUCATION,SCHEDULE VII (II),,61.59,,,,PRAYAS,61.59,GUJARAT (KUTCH),Medical and Health
2369,CHOLAFIN,CHOLAMANDALAM INVESTMENT & FINANCE CO.LTD.,One-time,TAMILNADU DISASTER RELIEF FUND - COVID,DISASTER MANAGEMENT,SCHEDULE VII (XII),,200.0,,,,TAMIL NADU DISASTER RELIEF FUND,200.0,TAMIL NADU,Medical and Health
2381,CHOLAFIN,CHOLAMANDALAM INVESTMENT & FINANCE CO.LTD.,One-time,CONTAINMENT OF COVID-19 PROJECT,DISASTER MANAGEMENT,SCHEDULE VII (XII),,50.0,,,,CHILD TRUST MEDICAL & RESEARCH FOUNDATION,50.0,TAMIL NADU (CHENNAI),Medical and Health
2395,CINELINE,CINELINE INDIA LTD.,One-time,HOUSING FOR CHILDREN SUFFERING FROM CHRONIC DISEASES PRESENTLY FOCUSING ON CANCER.,PROMOTING HOME FOR ORPHANS & HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (III)",,2.0,,,,ST.JUDE INDIA CHILDCARE CENTRES,2.0,MAHARASHTRA (MUMBAI),Medical and Health
2397,CIPLA,CIPLA LTD.,One-time,RESPIRATORY CARE SUPPORT PROGRAMME PULMONARY REHABILITATION FOR POST COVID-19 AND CHRONIC OBSTRUCTIVE PULMONARY DISORDER (COPD),SCHEDULE VII (I) PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,131.0,,CIPLA FOUNDATION,131.0,,,"MADHYA PRADESH (BHOJ),MAHARASHTRA (MUMBAI,PUNE),RAJASTHAN (JAIPUR),WEST BENGAL (KOLKATA)",Medical and Health
2398,CIPLA,CIPLA LTD.,One-time,PATIENT SUPPORT/ MEDICAL ASSISTANCE SUPPORT TO PATIENTS WITH THALASSEMIA AND OTHER LIFE-LIMITING DISEASES,SCHEDULE VII (I) PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,176.0,,CIPLA FOUNDATION,176.0,,,"DELHI (DELHI /NCR),GUJARAT (AHMEDABAD),KARNATAKA (BENGALURU),MAHARASHTRA (MUMBAI)",Medical and Health
2399,CIPLA,CIPLA LTD.,One-time,PALLIATIVE CARE PROJECTS PALLIATIVE AND SUPPORTIVE CARE UNIT,,SCHEDULE VII (I),,340.0,,CIPLA FOUNDATION,340.0,,,"ASSAM (SILCHAR),KARNATAKA (BENGALURU),MADHYA PRADESH (INDORE),MAHARASHTRA (MUMBAI),TELANGANA (HYDERABAD),UTTAR PRADESH (LUCKNOW)",Medical and Health
2401,CIPLA,CIPLA LTD.,One-time,"DISASTER RESPONSE# SUPPORT TOWARDS PROVIDING DRY RATIONS KITS, MAKESHIFT SHELTERS AND NON-FOOD ITEMS.","SCHEDULE VII (XII) DISASTER MANAGEMENT, INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTION ACTIVITIES",SCHEDULE VII (XII),,27.0,,CIPLA FOUNDATION,27.0,,,"ODISHA (KENDRAPARA),WEST BENGAL (24 PARGANAS)",Medical and Health
2403,CIPLA,CIPLA LTD.,One-time,COVID-19 RELIEF -SUPPORT TOWARDS PROCUREMENT OF MEDICAL EQUIPMENT AND OTHER SIMILAR EQUIPMENT TOWARDS COVID MANAGEMENT,,"SCHEDULE VII (I), SCHEDULE VII (XII)",,208.0,,CIPLA FOUNDATION,208.0,,,"KARNATAKA (BENGALURU),MAHARASHTRA (MUMBAI,PANVEL)",Medical and Health
2404,CIPLA,CIPLA LTD.,One-time,DISASTER RELIEF PROGRAMME,"SCHEDULE VII (XII) DISASTER MANAGEMENT, INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTION ACTIVITIES",SCHEDULE VII (XII),,47.0,,CIPLA FOUNDATION,47.0,,,"KERALA (KOTTAYAM),MAHARASHTRA (RAIGAD),TAMIL NADU (CHENNAI)",Medical and Health
2406,CIPLA,CIPLA LTD.,One-time,PALLIATIVE CARE PROJECTS CIPLA PALLIATIVE CENTRE,SCHEDULE VII,SCHEDULE VII (I),,1014.0,,CIPLA FOUNDATION,1014.0,,,MAHARASHTRA (PUNE),Medical and Health
2407,CIPLA,CIPLA LTD.,One-time,PALLIATIVE CARE PROJECTS ACCESS TO PALLIATIVE CARE SERVICES THROUGH AWARENESS AND HOME- BASED SUPPORT,(I) PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,381.0,,CIPLA FOUNDATION,381.0,,,"ANDHRA PRADESH (VISAKHAPATNAM),ASSAM (KAMRUP METROPOLITAN),DELHI (DELHI /NCR),JAMMU & KASHMIR (SRINAGAR),MAHARASHTRA (MUMBAI,PUNE),PUNJAB (BHATINDA),TAMIL NADU (CHENNAI),WEST BENGAL (KOLKATA)",Medical and Health
2408,CIPLA,CIPLA LTD.,One-time,COVID-19 RELIEF PROGRAMME INCLUDING SUPPORT TO STATE AND CENTRAL GOVT INCLUDING BOTH PREVENTIVE AND CURATIVE ASPECTS,SCHEDULE VII (I) PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,1217.0,,CIPLA FOUNDATION,1217.0,,,"GOA (SOUTH GOA),GUJARAT (SURAT),HIMACHAL PRADESH (SOLAN),KARNATAKA (BENGALURU),MADHYA PRADESH (INDORE),MAHARASHTRA (MUMBAI,PUNE,RAIGAD),RAJASTHAN (JAIPUR),SIKKIM (EAST SIKKIM),TELANGANA (HYDERABAD),UTTAR PRADESH (LUCKNOW),UTTARAKHAND (DEHRADUN)",Medical and Health
2410,CIPLA,CIPLA LTD.,One-time,STRENGTHENING HEALTH SYSTEMS STRENGTHEN HEALTH SERVICES BY PROVIDING MEDICAL EQUIPMENT AND INFRASTRUCTURE SUPPORT TO HEALTHCARE INSTITUTIONS,SCHEDULE VII (I) PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,115.0,,CIPLA FOUNDATION,115.0,,,"HIMACHAL PRADESH (SOLAN),MADHYA PRADESH (INDORE),MAHARASHTRA (MUMBAI,PUNE,RAIGAD)",Medical and Health
2412,CIPLA,CIPLA LTD.,One-time,"COVID-19 RESPONSE# COVID-19 RELIEF SUPPORT TOWARDS PROCUREMENT OF TESTING KITS AND MEDICAL CONSUMABLES, COVID-19 KITS AND DRY RATION",,"SCHEDULE VII (I), SCHEDULE VII (XII)",,123.0,,CIPLA FOUNDATION,123.0,,,"DELHI (DELHI /NCR),GOA (NORTH GOA,SOUTH GOA),HIMACHAL PRADESH (SOLAN),KARNATAKA (BENGALURU),MADHYA PRADESH (DHAR,INDORE),MAHARASHTRA (MUMBAI,PUNE,RAIGAD),SIKKIM (EAST SIKKIM)",Medical and Health
2414,CIPLA,CIPLA LTD.,One-time,"COMMUNITY HEALTH/ DOORSTEP HEALTH# COMMUNITY HEALTH INITIATIVES FOR CHILD NUTRITION, HYGIENE AND SANITATION INCLUDING AWARENESS ACTIVITIES AND SMALL EQUIPMENT SUPPORT",HEALTHCARE SCHEDULE VII (I) PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,116.0,,CIPLA FOUNDATION,116.0,,,"HIMACHAL PRADESH (SOLAN),MADHYA PRADESH (INDORE),MAHARASHTRA (PUNE,RAIGAD),RAJASTHAN (JAIPUR),UTTAR PRADESH (LUCKNOW)",Medical and Health
